display  D   display_settings.c:202  debug_display_settings           [   0.09074] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09075] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.09076] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09078] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.09079] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09080] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.09083] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09085] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.09086] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09087] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.09088] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09090] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.09091] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09092] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.09093] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09095] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.09096] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09098] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.09099] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09100] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.09101] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09103] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.09104] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09105] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.09107] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09108] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.09109] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09111] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.09112] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09113] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.09114] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09116] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09117] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09119] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09120] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09121] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09122] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09124] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09125] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09127] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09128] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09129] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09131] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09132] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09133] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09135] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09136] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09137] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09139] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09140] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09141] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09143] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09144] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09145] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09147] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09148] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09149] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09151] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09152] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09153] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09155] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09156] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09157] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09159] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09160] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09161] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09163] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09164] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09167] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09169] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09170] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09172] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09173] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09175] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09176] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09178] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09179] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09180] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09181] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09183] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09185] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09186] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09187] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09189] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09190] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09192] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09193] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09195] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09196] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09197] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09199] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
